Official Name,Country/Org of UN Registry,Country of Operator,Operator,Users,Purpose,Period (minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,NORAD Number,Year
3Cat-1,NR,Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,95,11/29/2018,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,43728,2018
Aalto-1,Finland,Finland,University of Aalto,Civil,Technology Development,94.7,6/23/2017,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,42775,2017
AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,95.9,4/25/2016,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,41460,2016
ABS-2,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.03,2/6/2014,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,39508,2014
ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.1,6/15/2016,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,41588,2016
ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436,3/2/2015,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,40424,2015
ABS-4,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.1,3/13/2004,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,28184,2004
ABS-6,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.08,9/26/1999,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,25924,1999
ABS-7,South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,1436.06,9/4/1999,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,25894,1999
USA 139,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436.14,5/9/1998,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,25336,1998
USA 171,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436.1,9/9/2003,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,27937,2003
USA 202,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1438.8,1/18/2009,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,33490,2009
USA 223,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436,11/21/2010,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,37232,2010
USA 237,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1436.1,6/29/2012,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,38528,2012
USA 268,USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,1437.19,6/11/2016,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,41584,2016
USA 235,USA,USA,US Air Force,Military,Communications,1436.1,5/3/2012,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,38254,2012
USA 246,NR,USA,US Air Force,Military,Communications,1436.1,9/18/2013,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,39256,2013
USA 288,USA,USA,US Air Force,Military,Communications,1436.1,10/17/2018,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,43651,2018
USA 292,NR (11/19),USA,US Air Force,Military,Communications,1436.2,8/8/2019,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,44481,2019
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,97.4,9/13/2012,University of Southern California,USA,Vandenberg AFB,Atlas 5,38760,2012
Aeolus,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,92.4,8/22/2018,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega,43600,2018
Aerocube 10A,NR (11/19),USA,Aerospace Corporation,Commercial,Technology Development,94.15,8/9/2019,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,44485,2019
Aerocube 10B,NR (11/19),USA,Aerospace Corporation,Commercial,Technology Development,94.15,8/9/2019,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,44484,2019
Aerocube 11A,NR,USA,Aerospace Corporation,Commercial,Technology Development,94.6,12/17/2018,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,43861,2018
Aerocube 11B,NR,USA,Aerospace Corporation,Commercial,Technology Development,94.6,12/17/2018,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron,43849,2018
Aerocube 12A,NR,USA,Aerospace Corporation,Commercial,Technology Development,94.2,7/16/2018,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,43556,2018
Aerocube 12B,NR,USA,Aerospace Corporation,Commercial,Technology Development,94.2,7/16/2018,Aerospace Corporation,USA,Cygnus,Nanorack Deployer,43557,2018
Aerocube 5C,NR,USA,Aerospace Corporation,Commercial,Technology Development,97.74,10/8/2015,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,40965,2015
Aerocube 6A,NR,USA,Aerospace Corporation,Commercial,Technology Development,97.88,6/19/2014,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,40045,2014
Aerocube 6B,NR,USA,Aerospace Corporation,Commercial,Technology Development,97.88,6/19/2014,Aerospace Corporation,USA,Dombarovsky Air Base,Dnepr,40046,2014
Aerocube 7A,NR,USA,Aerospace Corporation,Commercial,Technology Development,97.4,10/8/2015,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,40966,2015
Aerocube 8A,NR,USA,Aerospace Corporation,Commercial,Technology Development,95.19,5/20/2015,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,40659,2015
Aerocube 8B,NR,USA,Aerospace Corporation,Commercial,Technology Development,95.19,5/20/2015,Aerospace Corporation,USA,Cape Canaveral,Atlas 5,40660,2015
Aerocube 8D,NR,USA,Aerospace Corporation,Commercial,Technology Development,96.23,11/11/2016,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,41852,2016
Eutelsat 28B,France,Multinational,EUTELSAT S.A.,Commercial,Communications,1436.08,12/20/2008,EADS Astrium,France,Guiana Space Center,Ariane 5,33460,2008
AIM,USA,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,96.2,4/25/2007,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,31304,2007
AISat-1,Germany,Germany,German Aerospace Center (DLR),Government,Communications,97.76,6/30/2014,German Aerospace Center (DLR),Germany,Satish Dhawan Space Centre,PSLV-CA,40054,2014
AISSat-1,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,97.2,7/12/2010,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Canada,Satish Dhawan Space Centre,PSLV,36797,2010
AISSat-2,Norway,Norway,Norwegian Coastal Admnistration,Government,Communications,97.27,7/8/2014,Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies,Norway/Canada,Baikonur Cosmodrome,Soyuz-2.1b,40075,2014
AIST-1,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,96.9,12/28/2013,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",39492,2013
AIST-2,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,96.06,4/19/2013,"Samara State Aerospace University, SGAU",Russia,Baikonur Cosmodrome,Soyuz 2.1a,39133,2013
AIST-2D,Russia,Russia,"Samara State Aerospace University, SGAU",Civil,Technology Development,94.18,4/27/2016,Samara State Aerospace University/TsSKB Progress,Russia,Vostochny Cosmodrome,Soyuz 2.1a,41465,2016
AISTechSat-2,NR,Spain,AISTech,Commercial,Earth Observation,96.4,12/3/2018,GomSpace ApS,Denmark,Vandenberg AFB,Falcon 9,43768,2018
AISTechSat-3,NR (11/19),Spain,AISTech,Commercial,Earth Observation,94.6,4/1/2019,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,44103,2019
Al Yah-3,Brazil,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,1436,1/25/2018,Orbital ATK,USA,Guiana Space Center,Ariane 5,43174,2018
Alcomsat,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Communications,1436.1,12/10/2017,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,43039,2017
ALE-1,Japan,Japan,Astro Live Experiences,Commercial,Technology Development,94.5,1/18/2019,Astro Live Experiences,Japan,Uchinoura Space Center,Epsilon,43938,2019
Al-Farabi-2,NR,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,96.2,12/3/2018,Al-Farabi Kazakh National University,Kazakhstan,Vandenberg AFB,Falcon 9,43805,2018
ALiCE,NR,USA,US Air Force Institute of Technology,Military,Technology Development,98,12/6/2013,US Air Force Institute of Technology,USA,Vandenberg AFB,Atlas 5,39467,2013
Alsat-2B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,97.7,9/26/2016,Airbus Defense and Space,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,41786,2016
Alsat-1B,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,98.4,9/26/2016,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,41785,2016
AlSat-1N,Algeria,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,98.3,9/26/2016,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,41789,2016
Alsat-2A,Algeria,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,98.2,7/12/2010,EADS Astrium,France/UK/Germany/Spain,Satish Dhawan Space Centre,PSLV,36798,2010
Amazonas-2,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,1436.08,10/1/2009,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,35942,2009
Amazonas-3,Brazil,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,1436.05,2/7/2013,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,39078,2013
Amazonas-4A,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,1436.24,3/22/2014,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,39616,2014
Amazonas-5,NR,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,1436.11,9/12/2017,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,42934,2017
AMC-1,USA,USA,SES S.A.,Commercial,Communications,1436.1,9/8/1996,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 2A,24315,1996
AMC-10,USA,USA,SES S.A.,Commercial,Communications,1436.09,2/5/2004,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,28154,2004
AMC-11,USA,USA,SES S.A.,Commercial,Communications,1436.07,5/19/2004,Lockheed Martin,USA,Cape Canaveral,Atlas 2AS,28252,2004
AMC-15,USA,USA,SES S.A.,Commercial,Communications,1436.08,10/14/2004,Lockheed Martin,USA,Baikonur Cosmodrome,Proton M,28446,2004
AMC-16,USA,USA,SES S.A.,Commercial,Communications,1436.1,12/17/2004,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,28472,2004
AMC-18,USA,USA,SES S.A.,Commercial,Communications,1436.1,12/8/2006,Lockheed Martin Missiles & Space,USA,Guiana Space Center,Ariane 5,29644,2006
AMC-2,USA,USA,SES S.A.,Commercial,Communications,1436.1,1/30/1997,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44L,24713,1997
AMC-21,United Kingdom,USA,SES S.A.,Commercial,Communications,1436.1,8/14/2008,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,33275,2008
AMC-4,USA,USA,SES S.A./Gogo,Commercial,Communications,1436.1,11/13/1999,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 44LP,25954,1999
AMC-6,USA,USA,SES S.A.,Commercial,Communications,1436.12,10/22/2000,Lockheed Martin Commercial Space Systems,USA,Baikonur Cosmodrome,Proton K,26580,2000
AMC-7,USA,USA,SES S.A.,Commercial,Communications,1436.08,9/14/2000,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,26495,2000
AMC-8,USA,USA,SES S.A.,Commercial,Communications,1436.07,12/19/2000,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5G,26639,2000
AmGU-1,Russia,Russia,Moscow State University,Civil,Space Science,95.2,7/5/2019,Moscow State University,Russia,Vostochny Cosmodrome,Soyuz 2.1b,44394,2019
Amos 17,NR (11/19),Israel,Space-Communication Ltd.,Military/Commercial,Communications,1436.04,8/6/2019,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,44479,2019
Amos 3,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,1436.1,4/28/2008,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 3SLB,32794,2008
Amos 4,NR,Israel,Space-Communication Ltd.,Military/Commercial,Communications,1432,8/31/2013,Israel Aircraft Industries (IAI),Israel,Baikonur Cosmodrome,Zenit 2SB,39237,2013
Amsat-Oscar 7,USA,USA,AMSAT-NA,Civil,Communications,114.9,11/15/1974,Amsat-NA,USA,Vandenberg AFB,Delta 2310,7530,1974
Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.08,11/21/2000,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,26624,2000
Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.1,9/9/2005,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,28868,2005
Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.08,7/18/2004,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 5,28378,2004
Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.1,4/9/2007,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,31102,2007
Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,1436.08,4/15/2013,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,39127,2013
Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,94.6,1/18/2019,Kyushu Institute of Technology,Japan,Uchinoura Space Center,Epsilon,43940,2019
AprizeSat 1,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,99.4,6/29/2004,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,28372,2004
AprizeSat 10,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,98,6/19/2014,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,40019,2014
AprizeSat 2,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,100.3,6/29/2004,Aprize Satellite ,Argentina,Baikonur Cosmodrome,Dnepr,28366,2004
AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,97,7/29/2009,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,35686,2009
AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,97.5,7/29/2009,SpaceQuest,USA,Baikonur Cosmodrome,Dnepr,35684,2009
AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,97.8,8/17/2011,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,37792,2011
AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,97.17,11/21/2013,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,39416,2013
AprizeSat 8,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,97.99,11/21/2013,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,39425,2013
AprizeSat 9,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,98,6/19/2014,SpaceQuest,USA,Dombarovsky Air Base,Dnepr,40018,2014
Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,1436.08,4/12/2005,Alcatel Space Industries,France/Italy,Xichang Satellite Launch Center,Long March 3B,28638,2005
Apstar 6C,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,1436.1,5/3/2018,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,43450,2018
Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,1440.31,3/31/2012,Thales Alenia Space,France/Italy,Xichang Satellite Launch Center,Long March 3B,38107,2012
Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,1436.01,10/16/2015,China Academy of Space Technology (CAST),China,Xichang Satellite Launch Center,Long March 3B,40982,2015
Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,1436.06,9/21/2011,Astrium/Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,37810,2011
Arabsat 6A,NR (11/19),Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,"1,436.00",4/11/2019,Lockheed Martin,USA,Cape Canaveral,Falcon Heavy,44186,2019
Arabsat 7F,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,1436.09,5/20/1999,Lockheed Martin/Spar Aerospace,USA/Canada,Baikonur Cosmodrome,Proton D,25740,1999
Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,94.5,1/11/2018,Planetary Resources,USA,Satish Dhawan Space Centre,PSLV,43130,2018
ARMADILLO,NR (11/19),USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,96.2,6/25/2019,UT Austin/Baylor University,USA,Cape Canaveral,Falcon Heavy,44352,2019
ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,1436.07,10/16/2014,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,40272,2014
ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,1436.06,9/30/2015,INVAP S.E.,Argentina,Guiana Space Center,Ariane 5 ECA,40941,2015
AsiaSat-3S,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.07,3/21/1999,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,25657,1999
AsiaSat-4,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.1,4/12/2003,Boeing Satellite Systems,USA,Cape Canaveral,Atlas 3B,27718,2003
AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.11,8/11/2009,Space Systems/Loral,USA,Baikonur Cosmodrome,Breeze M,35696,2009
AsiaSat-6,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.17,9/7/2014,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,40141,2014
AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.17,11/25/2011,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M,37933,2011
AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.1,8/5/2014,Space Systems/Loral,USA,Cape Canaveral,Falcon 9,40107,2014
AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,1436.1,9/28/2017,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton,42942,2017
AsiaStar,USA,USA,1Worldspace,Commercial,Communications,1436.15,3/21/2000,Alcatel Space Industries,France,Guiana Space Center,Ariane 5G,26107,2000
ASNARO-1,Japan,Japan,Japan Space Systems,Government,Earth Observation,94.75,11/6/2014,NEC Corporation,Japan,Dombarovsky Air Base,Dnepr,40298,2014
ASNARO-2,Japan,Japan,Japan Space Systems,Government,Earth Observation,94.5,1/17/2018,NEC Corporation,Japan,Uchinoura Space Center,Epsilon,43152,2018
ASTERIA,USA,USA,Massachusetts Institute of Technology/NASA ,Government/Civil,Technology Development,92.6,11/20/2017,NASA Jet Propulsion Laboratory/MIT,USA,International Space Station,Nanorack Deployer,43020,2017
Astra 1D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.08,11/1/1994,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 42P,23331,1994
Astra 1F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.15,4/18/1996,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,23842,1996
Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.08,12/2/1997,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,25071,1997
Astra 1H,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.04,6/18/1999,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton D,25785,1999
Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.1,4/20/2006,Lockheed Martin Commercial Space Systems,USA,Cape Canaveral,Atlas 5,29055,2006
Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.03,5/4/2007,Lockheed Martin Commercial Space Systems,USA,Guiana Space Center,Ariane 5 ECA,31306,2007
Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1438.2,11/5/2008,EADS Astrium,France,Baikonur Cosmodrome,Proton M,33436,2008
Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1434.1,8/6/2011,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,37775,2011
Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.12,8/30/1998,Hughes Space and Communications Co.,USA,Baikonur Cosmodrome,Proton K,25462,1998
Astra 2B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.11,9/14/2000,Astrium,France/UK/Germany,Guiana Space Center,Ariane 5G,26494,2000
Astra 2C,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.12,6/16/2001,Boeing Satellite Systems,USA,Baikonur Cosmodrome,Proton K,26853,2001
Astra 2D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.1,12/19/2000,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 5G,26638,2000
Astra 2E,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.12,9/29/2013,EADS Astrium,France,Baikonur Cosmodrome,Proton M,39285,2013
Astra 2F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.07,9/28/2012,EADS Astrium,France/UK/Germany,Guiana Space Center,Ariane 5 ECA,38778,2012
Astra 2G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.11,12/27/2014,Airbus Defense and Space,Germany/France,Baikonur Cosmodrome,Proton M,40364,2014
Astra 3A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.07,3/29/2002,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,27400,2002
Astra 3B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.11,5/21/2010,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,36581,2010
Astra 5B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,1436.26,3/22/2014,EADS Astrium,France,Guiana Space Center,Ariane 5 ECA,39617,2014
Astranis Demosat-2,USA,USA,Astranis,Commercial,Technology Development,94.5,1/11/2018,Astranis,USA,Satish Dhawan Space Centre,PSLV,43127,2018
Astrocast 0.1,NR,Switzerland,Astrocast,Commercial,Communications,96.3,12/3/2018,Astrocast,Switzerland,Vandenberg AFB,Falcon 9,43798,2018
Astrocast 0.2,NR (11/19),Switzerland,Astrocast,Commercial,Communications,94.6,4/1/2019,Astrocast,Switzerland,Satish Dhawan Space Centre,PSLV,44083,2019
Astrosat,NR,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,97.54,9/28/2015,Indian Space Research Organization (ISRO),India,Satish Dhawan Space Centre,PSLV C-30,40930,2015
AT&T T16,NR (11/19),USA,"DirecTV, Inc.",Commercial,Communications,1436.07,6/20/2019,Airbus Defense and Space,France,Guiana Space Center,Ariane 5,44333,2019
Athena-Fidus,France,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,1436.06,2/6/2014,Thales Alenia Space,France,Guiana Space Center,Ariane 5 ECA,39509,2014
Athenoxat-1,NR,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,95.46,12/16/2015,Microspace Rapid Pvt Ltd.,Singapore,Satish Dhawan Space Centre,PSLV-C29,41168,2015
Aurora,Russia,Russia,Sputnix Ltd.,Commercial,Technology Development,96.7,6/19/2014,Sputnix Ltd.,Russia,Dombarovsky Air Base,Dnepr,40017,2014
Azerspace 1/Africasat-1a,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,1436.08,2/7/2013,Orbital Sciences Corp.,USA,Guiana Space Center,Ariane 5 ECA,39079,2013
Azerspace 2/Intelsat-38,Azerbaijan,Azerbaijan,Azercosmos,Government,Communications,1436.1,9/25/2018,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,43632,2018
Badr 4,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,1436.06,11/8/2006,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton M,29526,2006
Badr 5,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,1439.76,6/3/2010,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Proton,36592,2010
Badr 5A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,1427.27,6/26/2010,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,36745,2010
Badr 6,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,1436.1,7/7/2008,EADS Astrium,France/UK/Germany/Spain,Guiana Space Center,Ariane 5 ECA,33154,2008
Badr 7,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,"1,436.00",11/10/2015,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Ariane 5,41029,2015
Bangabandhu 1,NR,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,"1,436.06",5/11/2018,Thales Alenia Space,France/Belgium/Spain/Italy,Cape Canaveral,Falcon 9,43463,2018
Cosmos 2503,Russia,Russia,Ministry of Defense,Military,Earth Observation,96.1,2/27/2015,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz-2.1b,40420,2015
Cosmos 2515,Russia,Russia,Ministry of Defense,Military,Earth Observation,96.10,3/24/2016,Progress Rocket and Space Center,Russia,Plesetsk Cosmodrome,Soyuz 2.1a,41394,2016
Batsu CS1 ,NR,Costa Rica,Instituto Tecnológico de Costa Rica,Civil,Earth Science,92.60,5/11/2018,Costa Rica Institute of Technology,Costa Rica,International Space Station,Nanorack Deployer,43468,2018
Beesat-9,Germany,Germany,"Technical University, Berlin",Civil,Technology Development,95.20,7/5/2019,Technical University Berlin,Germany,Vostochny Cosmodrome,Soyuz 2.1b,44412,2019
Beidou 2-12,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.19,4/28/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,38250,2012
Beidou 2-13,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.21,4/28/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,38251,2012
Beidou 2-15,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,773.1,9/18/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3B,38775,2012
Beidou 2-16,China,China,Chinese Defense Ministry,Military/Government,Navigation/Global Positioning,1436.11,10/25/2012,Space Technology Research Institute (part of CASC),China,Xichang Satellite Launch Center,Long March 3C,38953,2012
